author,highlightTitle,uuid,title,ord_in_thread,highlightText,social_vk_shares,social_stumbledupon_shares,social_linkedin_shares,social_pinterest_shares,social_gplus_shares,social_facebook_shares,social_facebook_comments,social_facebook_likes,crawled,published,thread_spam_score,thread_site_type,thread_site_full,thread_title_full,thread_performance_score,thread_title,thread_replies_count,thread_main_image,thread_uuid,thread_site_section,thread_published,thread_participants_count,thread_url,thread_country,thread_site,text,url,language,Keyword,relevent_flag,score,position
AceShowbiz.com,,26ab1f61b41342dde7835df2592f0dc2c28b73a5,Naomie Harris Defends Daniel Craig Over 'Slash My Wrist' Comment,0,,0,0,0,0,0,0,0,0,2015-10-13T21:42:39.068+03:00,2015-10-13T20:25:00.000+03:00,0,news,www.aceshowbiz.com,Naomie Harris Defends Daniel Craig Over 'Slash My Wrist' Comment,0,Naomie Harris Defends Daniel Craig Over 'Slash My Wrist' Comment,0,,26ab1f61b41342dde7835df2592f0dc2c28b73a5,http://feeds.feedburner.com/Aceshowbizcom-EntertainmentNews,2015-10-13T20:25:00.000+03:00,1,http://www.aceshowbiz.com/news/view/00089667.html,US,aceshowbiz.com,Aceshowbiz.com - Entertainment News,http://www.aceshowbiz.com/news/view/00089667.html,english,Entertainment,1,0.859648344,0.333333333
,,3c9a8e19c034593a4c5877febe606df4f11dc5a7,Kelly Ripa Gets Star on Hollywood Walk of Fame,0,,0,0,0,0,0,0,0,0,2015-10-13T17:05:15.608+03:00,2015-10-13T19:49:00.000+03:00,0,news,610kvnu.com,Kelly Ripa Gets Star on Hollywood Walk of Fame,0,Kelly Ripa Gets Star on Hollywood Walk of Fame,0,http://abcnewsradioonline.com/storage/news-images-october-2015/Getty_KellyRipa_101315.jpg?__SQUARESPACE_CACHEVERSION=1444737065464,3c9a8e19c034593a4c5877febe606df4f11dc5a7,http://www.610kvnu.com/entertainment/feed.xml,2015-10-13T19:49:00.000+03:00,0,http://610kvnu.com/entertainment/cbd105bb4301f9b35c0602b7d8a3376c,US,610kvnu.com,Entertainment,http://610kvnu.com/entertainment/cbd105bb4301f9b35c0602b7d8a3376c,english,Entertainment,1,2.578945033,0
,,f50db7ec97e678504ef72b13ff9e503474bfe6d8,US writer Hanya Yanigahara favorite for Booker Prize,0,,0,0,0,0,0,0,0,0,2015-10-13T13:55:27.183+03:00,2015-10-13T13:27:00.000+03:00,0,news,www.palmbeachpost.com,US writer Hanya Yanigahara favorite for Booker Prize,0,US writer Hanya Yanigahara favorite for Booker Prize,0,http://media.cmgdigital.com/shared/img/photos/2015/10/13/d0/60/38ba6e89c92b4d4b97e339d59cdb0fc5-e2be299f5257466e984928b83da26398-0.jpg,f50db7ec97e678504ef72b13ff9e503474bfe6d8,http://www.pbpulse.com/feeds/categories/entertainment/,2015-10-13T13:27:00.000+03:00,0,http://www.palmbeachpost.com/ap/ap/entertainment/us-writer-hanya-yanigahara-favorite-for-booker-pri/nn2Pj/,US,palmbeachpost.com,News | Entertainment,http://www.palmbeachpost.com/ap/ap/entertainment/us-writer-hanya-yanigahara-favorite-for-booker-pri/nn2Pj/,english,Entertainment,1,1.289472517,0.5
,,7d8459103c7ed47509702d22c62000eec73d3f58,One Direction teases fans with new track names,0,,0,0,0,0,0,0,0,0,2015-10-13T04:43:12.378+03:00,2015-10-13T01:08:00.000+03:00,0,news,www.newsnet5.com,One Direction teases fans with new track names,0,One Direction teases fans with new track names,0,http://sharing.newsnet5.com/sharescnn/photo/2015/10/12/1444664331_25123870_ver1.0_640_480.jpg,7d8459103c7ed47509702d22c62000eec73d3f58,http://www.newsnet5.com/feeds/rssFeed?obfType=RSS_FEED&siteId=10003&categoryId=10008,2015-10-13T01:08:00.000+03:00,0,http://www.newsnet5.com/newsy/one-direction-teases-fans-with-new-track-names,US,newsnet5.com,Entertainment | newsnet5,http://www.newsnet5.com/newsy/one-direction-teases-fans-with-new-track-names,english,Entertainment,1,1.289472517,0
newsr.in,,709f59dd1b421c22774e21054b2a880098980a47,Jennifer Lawrence gives piggyback ride to Aziz Ansari,0,,0,0,0,0,0,0,0,0,2015-10-13T04:59:11.676+03:00,2015-10-12T03:00:00.000+03:00,0,news,newsr.in,Jennifer Lawrence gives piggyback ride to Aziz Ansari - newsR,0,Jennifer Lawrence gives piggyback ride to Aziz Ansari,0,http://cdn.newsserve.net/newsR256.jpg,709f59dd1b421c22774e21054b2a880098980a47,http://newsr.in/latest/Entertainment.htm,2015-10-12T03:00:00.000+03:00,1,http://newsr.in/n/Entertainment/7559xr7rh/Jennifer-Lawrence-gives-piggyback-ride-to-Aziz-Ansari.htm,US,newsr.in,Entertainment: newsR,http://newsr.in/n/Entertainment/7559xr7rh/Jennifer-Lawrence-gives-piggyback-ride-to-Aziz-Ansari.htm,english,Entertainment,1,1.289472517,0
,,6460adbd1066c228761ce1a939210c756b5f319f,"James Taylor's mother, Gertrude, dies surrounded by family at her Martha's Vineyard home at 92",0,,0,0,0,0,0,0,0,0,2015-10-13T06:12:23.180+03:00,2015-10-12T22:20:00.000+03:00,0,news,www.brandonsun.com,"James Taylor's mother, Gertrude, dies surrounded by family at her Martha's Vineyard home at 92",0,"James Taylor's mother, Gertrude, dies surrounded by family at her Martha's Vineyard home at 92",0,http://media.winnipegfreepress.com/images/NYET110-120_2015_001938_high.jpg,6460adbd1066c228761ce1a939210c756b5f319f,http://www.brandonsun.com/rss?path=/entertainment/breaking-news,2015-10-12T22:20:00.000+03:00,0,http://www.brandonsun.com/entertainment/breaking-news/james-taylors-mother-gertrude-dies-surrounded-by-family-at-her-marthas-vineyard-home-at-92-332174682.html,US,brandonsun.com,Entertainment Breaking News,http://www.brandonsun.com/entertainment/breaking-news/james-taylors-mother-gertrude-dies-surrounded-by-family-at-her-marthas-vineyard-home-at-92-332174682.html,english,Entertainment,1,0.859648344,0.333333333
,,e21cb306feeb3a6a2e2fde0f86026e2f7c63a754,'Sunday Dinner' author shares deep regrets,0,,0,0,0,0,0,0,0,0,2015-10-13T16:57:21.201+03:00,2015-10-13T06:05:00.000+03:00,0,news,www.usatoday.com,'Sunday Dinner' author shares deep regrets,0,'Sunday Dinner' author shares deep regrets,1,http://www.gannett-cdn.com/-mm-/c8a9c499a94fda486dbb507c991370dcdc93353f/c=0-1542-3264-3386&amp;r=x1683&amp;c=3200x1680/local/-/media/2015/10/09/Nashville/Nashville/635800030782279856-Ann-Walling-headshot.jpg,e21cb306feeb3a6a2e2fde0f86026e2f7c63a754,http://www.usatoday.com/life/,2015-10-13T06:05:00.000+03:00,1,http://www.usatoday.com/story/life/nation-now/2015/10/12/sunday-dnner-author/73849206/,US,usatoday.com,"Entertainment News: Celebrity gossip blogs, photos, videos &amp; stories - USATODAY.com",http://www.usatoday.com/story/life/nation-now/2015/10/12/sunday-dnner-author/73849206/,english,Entertainment,1,0.257894503,0.2
AP,,595d99464494374fe1902a569769f444e8c4ef98,Gunmen in Haiti kill U.S. missionary in her car,0,,0,0,0,0,0,0,0,0,2015-10-13T04:39:51.465+03:00,2015-10-13T04:56:00.000+03:00,0,news,www.cbsnews.com,Gunmen in Haiti kill U.S. missionary in her car - CBS News,2,Gunmen in Haiti kill U.S. missionary in her car,2,http://cbsnews1.cbsistatic.com/hub/i/r/2015/10/13/70353ee4-7a12-48fe-9b65-e4382e78aa31/thumbnail/620x350/08d54aae9113e0faab6f896a9521ef79/missionarykilledhaiti.jpg,f0c8959a05360d3738bd6703c0f3e8d947efa8c1,http://www.cbsnews.com/,2015-10-13T04:56:00.000+03:00,3,http://www.cbsnews.com/news/gunmen-in-haiti-kill-american-missionary-in-her-car/,US,cbsnews.com,"CBS News - Breaking News, U.S., World, Business, Entertainment &amp; Video ",http://www.cbsnews.com/news/gunmen-in-haiti-kill-american-missionary-in-her-car/#post-0,english,Entertainment,1,0.257894503,0.555555556
,,9512a3dfe754655a5d5c395df430bf8ac5e7c8f9,This University Challenge contestant stole the show with more than just his brains,0,,0,0,0,0,0,0,0,0,2015-10-13T07:51:26.125+03:00,2015-10-13T00:27:00.000+03:00,0,news,www.wiltshiretimes.co.uk,This University Challenge contestant stole the show with more than just his brains,0,This University Challenge contestant stole the show with more than just his brains,0,http://www.wiltshiretimes.co.uk/resources/images/4315818/,9512a3dfe754655a5d5c395df430bf8ac5e7c8f9,http://www.wiltshiretimes.co.uk/leisure/showbiz/rss/,2015-10-13T00:27:00.000+03:00,0,http://www.wiltshiretimes.co.uk/leisure/showbiz/13842513.This_University_Challenge_contestant_stole_the_show_with_more_than_just_his_brains/?ref=rss,GB,wiltshiretimes.co.uk,Wiltshire Times | National Entertainment News,http://www.wiltshiretimes.co.uk/leisure/showbiz/13842513.This_University_Challenge_contestant_stole_the_show_with_more_than_just_his_brains/?ref=rss,english,Entertainment,1,0.515789007,0.2
,,f11925d66a08d56970709da56beebdfb0c12237a,Pets and Animals-Bloom Allowances of Owning a Pet,0,,0,0,0,0,0,0,0,0,2015-10-13T15:47:27.627+03:00,2015-10-13T12:23:00.000+03:00,0,news,www.athop.com,Pets and Animals-Bloom Allowances of Owning a Pet,0,Pets and Animals-Bloom Allowances of Owning a Pet,0,,f11925d66a08d56970709da56beebdfb0c12237a,http://www.athop.com/feed/,2015-10-13T12:23:00.000+03:00,0,http://www.athop.com/article/112081-bloom-allowances-of-owning-a-pet.html,US,athop.com,"Articles for Arts, Entertainment, Automotive, Business, Technology Athop",http://www.athop.com/article/112081-bloom-allowances-of-owning-a-pet.html,english,Entertainment,1,0.368420719,0.142857143
